,serviceid,providerid,timestamp,microcell,latitude,longitude,speed,throughput,bandwidth,coverage,reliability,security,latency,currect_microcell
3266,109614,P1005461,2024-03-09,M104,-33.864532,151.207611,5.0,4.89,4.89,5.0,5.0,5.0,4.78,M104
3267,109618,P1000412,2024-03-04,M104,-33.864532,151.207611,3.8,3.25,3.5,4.75,4.75,5.0,3.25,M104
3268,109619,P1000747,2023-10-07,M109,-33.92552,151.25489,5.0,5.0,4.67,4.67,5.0,5.0,5.0,M109
3269,109622,P1000073,2024-03-01,M107,-33.75470594557184,151.1497291880052,4.29,4.14,4.0,4.57,4.71,4.14,3.86,M107
3270,109624,P1000055,2023-12-12,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M102
3271,109632,P1000055,2024-02-26,M109,-33.92552,151.25489,4.96,5.0,5.0,4.96,4.91,4.78,4.57,M109
3272,109636,P1003989,2024-02-18,M124,-34.01325,150.76437,4.93,4.93,4.86,4.93,4.93,4.79,4.71,M124
3273,109637,P1001568,2024-02-11,M134,-33.96857,151.12367,4.0,3.92,3.54,4.54,4.46,4.38,4.23,M134
3274,109638,P1000016,2023-10-02,M130,-33.8513269,151.0609753,4.79,4.75,4.71,4.67,4.96,4.92,4.67,M130
3275,109644,P1005478,2020-11-28,M135,-33.87585,151.10469,4.86,4.71,4.71,4.86,5.0,5.0,5.0,M135
3276,109647,P1000055,2024-01-01,M102,-33.89055,151.27523,4.92,4.85,5.0,5.0,4.92,4.85,4.69,M102
3277,109648,P1000073,2024-02-29,M107,-33.75470594557184,151.1497291880052,4.2,4.1,4.0,4.1,4.4,4.3,4.2,M107
3278,109653,P1003947,2024-03-12,M104,-33.864532,151.207611,4.86,5.0,4.86,5.0,5.0,5.0,4.71,M104
3279,109658,P1000033,2024-02-20,M102,-33.89055,151.27523,4.65,4.53,4.24,4.94,4.94,4.76,4.47,M102
3280,109660,P1000016,2023-11-17,M104,-33.864532,151.207611,4.81,4.78,4.5,4.42,4.81,4.81,4.53,M104
3281,109664,P1003641,2024-03-13,M104,-33.864532,151.207611,5.0,5.0,4.89,4.92,4.98,4.98,4.91,M104
3282,109668,P1000741,2024-03-12,M102,-33.89055,151.27523,4.91,4.86,4.85,4.89,4.98,4.94,4.62,M102
3283,109673,P1000187,2020-08-22,M129,-33.9279519,151.1552776,4.2,3.8,3.6,4.2,4.0,4.4,4.0,M129
3284,109680,P1005106,2024-01-28,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,4.83,5.0,4.67,M102
3285,109683,P1003200,2024-03-11,M116,-33.79716,151.06479,4.94,4.94,4.94,4.89,4.98,4.94,4.86,M116
3286,109685,P1003641,2024-03-15,M104,-33.864532,151.207611,4.96,5.0,4.93,4.96,5.0,5.0,4.85,M104
3287,109695,P1000382,2023-10-13,M104,-33.864532,151.207611,4.87,4.97,4.84,4.88,4.87,4.99,4.79,M104
3288,109703,P1000998,2024-02-24,M103,-33.82763,151.08623,3.85,3.92,3.54,4.92,4.69,4.85,3.69,M103
3289,109704,P1000595,2024-03-11,M127,-33.8909571,151.1195413,4.85,4.85,4.54,4.85,4.92,4.85,4.85,M127
3290,109705,P1003124,2024-03-04,M104,-33.864532,151.207611,4.79,4.64,4.79,4.93,4.93,4.57,4.64,M104
3291,109712,P1001487,2024-02-04,M110,-33.828972923308115,151.2163312332427,4.0,4.25,5.0,5.0,4.75,4.75,4.25,M110
3292,109716,P1003989,2023-12-31,M111,-33.88391217035607,150.92970127242728,4.36,4.48,4.4,4.84,4.8,4.6,4.4,M111
3293,109717,P1001991,2024-02-10,M123,-33.6860173,150.8958334,4.72,4.89,4.61,4.83,4.94,4.44,4.72,M123
3294,109726,P1000016,2023-12-07,M130,-33.8513269,151.0609753,4.4,4.6,4.2,5.0,5.0,5.0,4.4,M130
3295,109738,P1004557,2024-03-08,M104,-33.864532,151.207611,4.94,4.97,4.82,4.94,4.91,4.79,4.79,M104
3296,109745,P1004412,2024-02-18,M104,-33.864532,151.207611,4.69,5.0,4.44,5.0,4.94,4.94,4.63,M104
3297,109751,P1000741,2024-01-27,M102,-33.89055,151.27523,5.0,5.0,4.67,4.67,5.0,5.0,4.67,M102
3298,109752,P1001692,2024-02-26,M102,-33.89055,151.27523,4.33,4.58,4.67,4.92,4.75,4.92,4.33,M102
3299,109760,P1000998,2024-03-06,M111,-33.88391217035607,150.92970127242728,5.0,5.0,5.0,4.88,5.0,5.0,5.0,M111
3300,109764,P1002887,2024-01-01,M109,-33.92552,151.25489,4.7,4.67,4.72,4.93,4.87,4.89,4.67,M109
3301,109766,P1000113,2024-02-28,M104,-33.864532,151.207611,4.4,4.6,4.6,4.8,4.7,4.5,4.5,M104
3302,109768,P1000073,2024-02-26,M135,-33.87585,151.10469,4.0,4.43,3.71,4.14,4.0,4.57,4.0,M135
3303,109783,P1000434,2024-02-24,M104,-33.864532,151.207611,4.67,4.78,4.66,4.77,4.78,4.91,4.77,M104
3304,109784,P1000690,2024-03-07,M104,-33.864532,151.207611,4.63,4.72,4.5,4.9,4.85,4.82,4.63,M104
3305,109788,P1000073,2023-11-27,M135,-33.87585,151.10469,4.0,4.4,3.2,5.0,4.4,4.4,4.2,M135
3306,109793,P1002850,2024-03-13,M104,-33.864532,151.207611,4.75,4.33,5.0,4.33,5.0,4.67,4.67,M104
3307,109799,P1000783,2024-02-28,M111,-33.88391217035607,150.92970127242728,4.5,4.83,5.0,4.33,4.67,4.33,4.67,M111
3308,109802,P1001760,2024-03-01,M102,-33.89055,151.27523,4.0,4.5,3.0,4.5,4.5,5.0,3.5,M102
3309,109805,P1005566,2024-02-19,M112,-34.0380304,151.1166316,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M112
3310,109808,P1000076,2024-01-27,M109,-33.92552,151.25489,4.75,4.89,4.55,4.81,4.82,4.98,4.63,M109
3311,109814,P1000219,2024-03-16,M104,-33.864532,151.207611,5.0,5.0,5.0,4.67,5.0,5.0,5.0,M104
3312,109817,P1000055,2023-12-15,M102,-33.89055,151.27523,4.63,4.75,4.88,4.75,4.5,5.0,4.25,M102
3313,109822,P1005578,2023-10-04,M104,-33.864532,151.207611,4.8,5.0,4.9,5.0,5.0,4.9,4.8,M104
3314,109823,P1000003,2024-03-13,M104,-33.864532,151.207611,4.9,4.9,4.9,4.7,4.9,4.9,4.8,M104
3315,109825,P1005580,2024-03-11,M104,-33.864532,151.207611,4.74,4.84,4.73,4.78,4.94,4.86,4.65,M104
3316,109827,P1000328,2024-03-07,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,4.64,4.93,M104
3317,109828,P1003344,2024-02-24,M107,-33.75470594557184,151.1497291880052,5.0,5.0,4.67,5.0,5.0,4.67,4.67,M107
3318,109834,P1000416,2023-12-13,M110,-33.828972923308115,151.2163312332427,3.0,3.0,2.0,3.0,4.0,4.0,3.0,M110
3319,109835,P1005275,2024-02-25,M123,-33.6860173,150.8958334,4.68,4.71,4.66,4.93,4.78,4.63,4.59,M123
3320,109839,P1002850,2024-02-26,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,4.75,5.0,M104
3321,109840,P1004342,2024-03-02,M104,-33.864532,151.207611,4.49,4.44,4.33,4.62,4.72,4.95,4.18,M104
3322,109846,P1000055,2023-09-15,M102,-33.89055,151.27523,5.0,4.0,5.0,4.0,5.0,5.0,5.0,M102
3323,109847,P1002597,2024-03-10,M104,-33.864532,151.207611,4.84,4.86,4.64,4.88,4.94,4.96,4.7,M104
3324,109849,P1000801,2024-03-10,M104,-33.864532,151.207611,5.0,4.83,5.0,4.83,5.0,5.0,4.83,M104
3325,109852,P1000073,2023-08-25,M133,-33.9410801,151.100121,3.86,4.0,4.0,3.93,4.07,4.79,3.93,M133
3326,109854,P1000113,2024-01-19,M104,-33.864532,151.207611,3.0,3.5,2.5,5.0,3.0,4.0,3.0,M104
3327,109855,P1000073,2024-02-22,M111,-33.88391217035607,150.92970127242728,4.13,4.46,4.25,4.71,4.38,4.0,3.96,M111
3328,109859,P1000113,2024-02-27,M104,-33.864532,151.207611,4.5,4.5,4.38,4.88,4.63,4.88,4.63,M104
3329,109865,P1000055,2024-03-02,M102,-33.89055,151.27523,4.92,5.0,4.92,4.33,4.75,4.92,4.58,M102
3330,109876,P1000073,2023-12-03,M111,-33.88391217035607,150.92970127242728,4.28,4.28,4.28,4.56,4.48,4.52,4.04,M111
3331,109881,P1000073,2024-02-23,M107,-33.75470594557184,151.1497291880052,4.0,4.0,4.0,4.6,4.4,3.8,3.8,M107
3332,109886,P1001549,2024-03-02,M119,-33.88101,151.22511,4.81,4.88,4.56,5.0,5.0,5.0,4.88,M119
3333,109888,P1000095,2023-12-25,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M102
3334,109890,P1000434,2024-03-01,M104,-33.864532,151.207611,4.94,4.94,4.81,4.94,4.94,5.0,4.88,M104
3335,109897,P1000690,2022-05-05,M104,-33.864532,151.207611,4.67,4.71,4.64,4.9,4.81,4.57,4.45,M104
3336,109900,P1000155,2023-10-02,M104,-33.864532,151.207611,4.5,4.83,4.83,4.83,5.0,5.0,4.67,M104
3337,109902,P1001333,2024-03-12,M104,-33.864532,151.207611,5.0,4.95,5.0,5.0,5.0,4.91,4.86,M104
3338,109905,P1000595,2024-03-09,M133,-33.9410801,151.100121,5.0,4.8,5.0,4.8,4.8,4.8,5.0,M133
3339,109907,P1000106,2024-02-17,M104,-33.864532,151.207611,4.5,5.0,4.5,5.0,5.0,5.0,4.5,M104
3340,109912,P1001622,2021-08-13,M113,-33.8017879,151.1765299,4.56,4.68,4.06,5.0,4.82,4.91,4.68,M113
3341,109918,P1000428,2024-02-08,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,4.98,4.96,M104
3342,109919,P1000076,2024-03-01,M109,-33.92552,151.25489,4.71,4.82,4.59,4.88,4.71,4.88,4.53,M109
3343,109925,P1000107,2024-02-24,M104,-33.864532,151.207611,4.92,4.92,4.75,5.0,5.0,5.0,4.75,M104
3344,109926,P1000009,2024-02-13,M104,-33.864532,151.207611,5.0,5.0,4.75,5.0,5.0,5.0,4.88,M104
3345,109929,P1002877,2024-02-24,M136,-33.86999,151.08825,4.82,4.77,4.66,4.76,4.85,4.81,4.69,M136
3346,109930,P1000016,2024-01-07,M104,-33.864532,151.207611,4.8,5.0,4.6,5.0,5.0,5.0,4.6,M104
3347,109931,P1000719,2024-02-28,M104,-33.864532,151.207611,4.42,4.37,4.05,4.84,4.84,4.37,4.05,M104
3348,109934,P1004412,2024-03-08,M104,-33.864532,151.207611,4.94,4.94,4.82,5.0,4.94,5.0,4.82,M104
3349,109939,P1005637,2024-02-26,M115,-33.75122,151.25772,4.7,4.74,4.52,4.7,4.83,4.78,4.52,M115
3350,109942,P1000024,2024-03-05,M104,-33.864532,151.207611,4.91,4.82,4.82,5.0,4.91,4.91,4.73,M104
3351,109954,P1002038,2023-11-30,M122,-33.72719,151.00848,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M122
3352,109958,P1000569,2024-03-13,M104,-33.864532,151.207611,4.55,4.61,4.41,4.58,4.77,4.91,4.48,M104
3353,109959,P1005650,2024-03-13,M102,-33.89055,151.27523,4.97,4.95,4.92,4.98,5.0,4.97,4.83,M102
3354,109967,P1000690,2024-03-01,M104,-33.864532,151.207611,4.71,4.87,4.78,4.55,4.79,4.93,4.66,M104
3355,109970,P1000062,2024-03-08,M108,-33.649899388892656,151.2796016585502,5.0,5.0,4.96,5.0,4.88,5.0,4.85,M108
3356,109975,P1000973,2024-03-02,M128,-33.78071975708008,151.11386108398438,4.33,5.0,4.5,4.5,5.0,5.0,4.5,M128
3357,109980,P1000856,2024-03-06,M104,-33.864532,151.207611,4.66,4.71,4.71,4.9,4.9,4.71,4.63,M104
3358,109982,P1002877,2024-02-20,M136,-33.86999,151.08825,4.67,4.67,4.65,4.75,4.63,4.35,4.62,M136
3359,109985,P1000434,2024-02-27,M110,-33.828972923308115,151.2163312332427,5.0,4.93,4.93,4.93,5.0,5.0,4.93,M110
3360,109986,P1003295,2023-12-19,M106,-33.73635045169837,150.71367952034564,4.71,5.0,5.0,4.64,4.79,4.86,4.64,M106
3361,109997,P1003947,2023-12-09,M115,-33.75122,151.25772,4.83,4.83,4.67,5.0,5.0,5.0,4.83,M115
3362,109999,P1000453,2024-02-17,M104,-33.864532,151.207611,4.19,4.31,4.31,4.5,4.64,4.72,4.0,M104
3363,110000,P1000316,2024-01-20,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,5.0,4.67,M115
3364,110001,P1000049,2024-02-20,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M104
3365,110003,P1001430,2023-07-08,M120,-33.94157370178417,150.79405669122934,4.42,4.25,4.21,4.54,4.75,4.5,4.08,M120
3366,110008,P1000701,2024-03-01,M117,-33.94207,151.22432,4.94,4.88,4.69,4.75,5.0,4.94,4.81,M117
3367,110013,P1000569,2024-03-14,M104,-33.864532,151.207611,4.83,5.0,5.0,4.5,4.67,5.0,4.83,M104
3368,110014,P1002679,2024-03-01,M123,-33.6860173,150.8958334,4.62,4.53,4.26,4.92,4.89,4.61,4.5,M123
3369,110016,P1000464,2020-11-07,M128,-33.78071975708008,151.11386108398438,4.0,5.0,4.0,4.0,5.0,5.0,5.0,M128
3370,110017,P1004657,2018-10-15,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,5.0,4.5,M115
3371,110022,P1000560,2023-01-08,M102,-33.89055,151.27523,4.0,4.0,4.0,4.5,5.0,5.0,3.5,M102
3372,110027,P1000801,2024-02-25,M104,-33.864532,151.207611,4.48,4.55,4.39,4.71,4.9,4.77,4.55,M104
3373,110028,P1003075,2024-02-29,M104,-33.864532,151.207611,4.79,4.84,4.84,4.9,4.93,4.79,4.77,M104
3374,110031,P1004496,2024-01-29,M116,-33.79716,151.06479,4.89,4.89,4.67,4.89,4.89,4.89,4.67,M116
3375,110032,P1002553,2023-11-18,M118,-33.716291,151.1083268,4.57,4.57,4.46,4.61,4.61,4.68,4.36,M118
3376,110033,P1000078,2024-02-24,M130,-33.8513269,151.0609753,4.5,4.5,4.5,4.5,4.5,4.5,4.5,M130
3377,110035,P1000107,2024-03-17,M130,-33.8513269,151.0609753,4.83,4.97,4.62,4.93,5.0,4.86,4.72,M130
3378,110042,P1001568,2024-02-28,M133,-33.9410801,151.100121,4.14,4.57,4.14,4.57,4.43,4.43,4.0,M133
3379,110047,P1004003,2024-02-14,M115,-33.75122,151.25772,4.43,4.52,4.35,4.52,4.57,4.7,4.39,M115
3380,110049,P1005695,2024-02-06,M116,-33.79716,151.06479,4.92,4.88,4.83,4.92,4.96,4.83,4.83,M116
3381,110050,P1000501,2024-03-06,M104,-33.864532,151.207611,4.2,4.4,4.0,5.0,4.2,5.0,4.2,M104
3382,110054,P1000009,2024-02-27,M110,-33.828972923308115,151.2163312332427,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M110
3383,110055,P1000002,2024-02-10,M114,-33.91571,151.17268,5.0,5.0,5.0,5.0,5.0,4.5,5.0,M114
3384,110061,P1004006,2024-03-09,M114,-33.91571,151.17268,5.0,5.0,4.0,5.0,5.0,4.0,4.0,M114
3385,110062,P1000684,2024-02-17,M128,-33.78071975708008,151.11386108398438,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M128
3386,110063,P1000719,2024-02-02,M104,-33.864532,151.207611,4.65,4.7,4.6,5.0,4.95,4.8,4.75,M104
3387,110068,P1000016,2023-10-21,M113,-33.8017879,151.1765299,4.0,5.0,4.0,5.0,5.0,4.0,4.0,M113
3388,110069,P1000074,2023-11-01,M125,-33.80662,151.15517,4.0,3.33,4.33,2.67,4.67,4.67,3.33,M125
3389,110075,P1000219,2024-03-16,M104,-33.864532,151.207611,5.0,5.0,5.0,4.75,5.0,5.0,4.5,M104
3390,110077,P1000033,2024-02-23,M102,-33.89055,151.27523,4.46,4.48,4.35,4.74,4.83,4.83,4.28,M102
3391,110079,P1000930,2024-03-04,M132,-33.95896,151.02309,3.0,5.0,3.0,5.0,5.0,3.0,3.0,M132
3392,110086,P1000016,2024-02-25,M130,-33.8513269,151.0609753,4.55,4.73,4.82,4.45,4.82,4.73,4.36,M130
3393,110091,P1003238,2024-02-20,M113,-33.8017879,151.1765299,4.0,4.22,4.33,4.56,4.44,4.44,3.78,M113
3394,110098,P1000261,2024-03-17,M136,-33.86999,151.08825,4.69,4.64,4.64,4.86,4.86,4.62,4.61,M136
3395,110104,P1000107,2024-02-23,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M115
3396,110106,P1002837,2024-03-03,M126,-33.92749,151.12542,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M126
3397,110107,P1001991,2024-03-05,M113,-33.8017879,151.1765299,4.8,5.0,4.8,4.8,5.0,5.0,4.8,M113
3398,110110,P1004342,2024-03-06,M104,-33.864532,151.207611,4.7,4.74,4.65,4.87,4.96,4.91,4.74,M104
3399,110115,P1001273,2024-01-05,M117,-33.94207,151.22432,5.0,5.0,4.75,4.5,5.0,5.0,4.5,M117
3400,110116,P1000425,2023-11-22,M110,-33.828972923308115,151.2163312332427,5.0,5.0,4.9,4.7,4.9,4.9,5.0,M110
3401,110118,P1004565,2024-02-28,M111,-33.88391217035607,150.92970127242728,4.5,5.0,4.5,5.0,5.0,4.5,5.0,M111
3402,110126,P1000167,2023-10-09,M118,-33.716291,151.1083268,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M118
3403,110128,P1000073,2024-02-27,M107,-33.75470594557184,151.1497291880052,3.89,4.44,3.78,4.67,4.0,4.22,3.67,M107
3404,110132,P1003989,2024-01-01,M111,-33.88391217035607,150.92970127242728,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M111
3405,110136,P1000073,2024-02-18,M128,-33.78071975708008,151.11386108398438,4.33,4.22,4.11,4.67,4.11,4.56,4.33,M128
3406,110138,P1001406,2024-02-21,M102,-33.89055,151.27523,5.0,5.0,4.94,4.88,4.94,5.0,4.94,M102
3407,110140,P1000469,2024-02-26,M114,-33.91571,151.17268,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M114
3408,110151,P1000440,2024-02-15,M129,-33.9279519,151.1552776,4.83,5.0,4.67,5.0,4.83,4.83,4.83,M129
3409,110156,P1000073,2024-01-25,M133,-33.9410801,151.100121,4.6,4.6,4.6,4.45,4.35,4.7,4.35,M133
3410,110159,P1000003,2023-08-05,M113,-33.8017879,151.1765299,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M113
3411,110161,P1000998,2024-03-06,M127,-33.8909571,151.1195413,4.63,4.74,4.59,4.7,4.89,4.78,4.7,M127
3412,110162,P1005757,2024-03-02,M113,-33.8017879,151.1765299,4.83,4.83,5.0,4.83,5.0,5.0,4.67,M113
3413,110163,P1000719,2024-02-23,M113,-33.8017879,151.1765299,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M113
3414,110164,P1000073,2024-02-14,M132,-33.95896,151.02309,4.27,4.2,4.33,4.4,4.47,4.6,4.2,M132
3415,110168,P1003013,2024-02-25,M104,-33.864532,151.207611,4.77,4.85,4.85,4.88,4.96,4.78,4.77,M104
3416,110171,P1000109,2023-03-28,M131,-33.8388,151.23511,4.5,4.6,4.5,4.55,4.7,4.8,4.45,M131
3417,110172,P1000633,2024-01-06,M119,-33.88101,151.22511,4.71,4.86,5.0,5.0,5.0,4.71,4.57,M119
3418,110176,P1004006,2024-02-20,M126,-33.92749,151.12542,4.63,4.74,4.62,4.74,4.84,4.58,4.45,M126
3419,110177,P1003990,2024-01-01,M120,-33.94157370178417,150.79405669122934,4.55,4.7,4.15,4.93,4.83,4.68,4.55,M120
3420,110180,P1000006,2024-03-03,M114,-33.91571,151.17268,4.44,4.63,4.5,4.69,4.81,4.81,4.38,M114
3421,110190,P1000055,2024-02-24,M102,-33.89055,151.27523,4.88,4.88,4.63,4.63,4.88,5.0,4.88,M102
3422,110191,P1000112,2024-02-14,M104,-33.864532,151.207611,4.38,4.65,4.46,4.7,4.76,4.75,4.38,M104
3423,110192,P1000055,2023-12-23,M102,-33.89055,151.27523,4.83,5.0,4.67,4.83,5.0,5.0,4.67,M102
3424,110193,P1000440,2024-02-05,M113,-33.8017879,151.1765299,4.67,4.5,4.83,4.5,4.67,4.67,4.67,M113
3425,110195,P1001565,2024-02-10,M123,-33.6860173,150.8958334,4.0,5.0,4.0,5.0,5.0,5.0,5.0,M123
3426,110197,P1000545,2024-02-24,M136,-33.86999,151.08825,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M136
3427,110199,P1003576,2023-12-31,M116,-33.79716,151.06479,4.71,4.76,4.76,4.35,5.0,4.65,4.59,M116
3428,110202,P1000109,2024-03-10,M131,-33.8388,151.23511,4.83,4.8,4.73,4.93,4.93,4.93,4.51,M131
3429,110204,P1000003,2021-04-06,M110,-33.828972923308115,151.2163312332427,5.0,5.0,4.75,5.0,5.0,5.0,4.75,M110
3430,110206,P1000193,2023-10-27,M102,-33.89055,151.27523,4.0,4.0,4.0,5.0,5.0,5.0,4.0,M102
3431,110208,P1000855,2024-03-01,M128,-33.78071975708008,151.11386108398438,4.76,4.68,4.76,4.88,4.8,4.92,4.56,M128
3432,110216,P1001568,2024-02-24,M133,-33.9410801,151.100121,3.5,3.75,4.0,3.75,3.75,3.5,3.5,M133
3433,110219,P1000270,2023-12-03,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M115
3434,110220,P1000379,2024-03-03,M133,-33.9410801,151.100121,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M133
3435,110223,P1000035,2024-02-16,M104,-33.864532,151.207611,4.57,4.76,4.48,4.81,4.76,4.81,4.52,M104
3436,110225,P1004045,2024-02-24,M102,-33.89055,151.27523,4.92,4.92,5.0,4.67,4.83,4.92,4.83,M102
3437,110226,P1000328,2024-03-06,M104,-33.864532,151.207611,4.67,4.5,5.0,4.5,5.0,5.0,5.0,M104
3438,110227,P1004596,2024-03-17,M104,-33.864532,151.207611,5.0,5.0,4.6,5.0,5.0,5.0,4.8,M104
3439,110232,P1000076,2023-09-23,M119,-33.88101,151.22511,5.0,5.0,5.0,4.6,4.6,4.8,4.8,M119
3440,110233,P1002240,2024-03-12,M104,-33.864532,151.207611,4.97,5.0,4.83,4.55,4.97,4.83,4.83,M104
3441,110234,P1000055,2024-02-21,M102,-33.89055,151.27523,4.94,4.94,5.0,4.94,5.0,4.89,4.83,M102
3442,110235,P1003302,2024-02-17,M104,-33.864532,151.207611,4.79,4.74,4.84,4.89,4.9,4.93,4.6,M104
3443,110240,P1005106,2024-03-14,M109,-33.92552,151.25489,5.0,4.78,5.0,4.89,5.0,5.0,4.78,M109
3444,110241,P1000106,2024-03-07,M104,-33.864532,151.207611,5.0,5.0,4.97,4.97,5.0,4.94,4.69,M104
3445,110242,P1002478,2024-02-24,M109,-33.92552,151.25489,4.87,4.87,4.9,4.94,4.97,4.9,4.45,M109
3446,110243,P1000055,2024-02-09,M102,-33.89055,151.27523,5.0,4.71,5.0,5.0,5.0,5.0,4.57,M102
3447,110244,P1000219,2024-02-29,M104,-33.864532,151.207611,5.0,5.0,5.0,4.8,5.0,5.0,5.0,M104
3448,110247,P1000219,2024-03-03,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M104
3449,110250,P1000017,2024-01-07,M102,-33.89055,151.27523,4.13,4.63,4.38,3.88,4.88,5.0,4.25,M102
3450,110251,P1000055,2024-03-02,M102,-33.89055,151.27523,5.0,4.88,5.0,5.0,4.88,4.88,4.63,M102
3451,110252,P1000055,2024-03-05,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M102
3452,110253,P1000055,2024-01-19,M109,-33.92552,151.25489,4.75,4.69,4.69,4.94,4.81,4.94,4.44,M109
3453,110259,P1000076,2024-02-10,M109,-33.92552,151.25489,5.0,4.67,4.67,4.0,5.0,5.0,4.33,M109
3454,110261,P1001054,2024-03-03,M122,-33.72719,151.00848,4.5,4.77,4.85,4.54,4.62,4.46,4.23,M122
3455,110262,P1005802,2024-03-02,M108,-33.649899388892656,151.2796016585502,5.0,4.67,5.0,5.0,5.0,5.0,4.33,M108
3456,110264,P1001308,2024-03-12,M102,-33.89055,151.27523,4.8,4.9,4.9,4.6,4.7,5.0,4.6,M102
3457,110266,P1000002,2023-03-04,M102,-33.89055,151.27523,4.67,4.78,5.0,5.0,4.67,5.0,4.78,M102
3458,110272,P1000193,2024-02-19,M109,-33.92552,151.25489,5.0,4.83,5.0,4.67,5.0,5.0,4.83,M109
3459,110274,P1000016,2023-11-29,M130,-33.8513269,151.0609753,4.0,4.5,5.0,5.0,5.0,5.0,4.5,M130
3460,110279,P1000033,2024-02-25,M102,-33.89055,151.27523,4.86,4.71,5.0,4.86,4.71,4.86,4.43,M102
3461,110280,P1001406,2024-02-24,M102,-33.89055,151.27523,4.98,4.95,4.88,4.9,4.95,4.98,4.73,M102
3462,110284,P1000569,2024-03-11,M110,-33.828972923308115,151.2163312332427,4.69,4.71,4.5,4.87,4.78,4.91,4.61,M110
3463,110289,P1005813,2024-01-29,M113,-33.8017879,151.1765299,4.49,4.57,4.34,4.54,4.66,4.69,4.31,M113
3464,110291,P1000783,2024-03-09,M111,-33.88391217035607,150.92970127242728,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M111
3465,110292,P1000003,2024-02-27,M110,-33.828972923308115,151.2163312332427,4.67,4.67,4.83,4.83,4.83,4.83,4.33,M110
3466,110293,P1000065,2024-02-28,M135,-33.87585,151.10469,4.0,4.0,4.67,4.67,5.0,4.0,3.67,M135
3467,110295,P1000016,2024-02-22,M118,-33.716291,151.1083268,4.62,4.76,4.62,4.93,4.79,4.79,4.55,M118
3468,110298,P1000710,2024-02-29,M137,-33.88098835077109,151.16864655312318,5.0,5.0,5.0,5.0,5.0,4.5,4.5,M137
3469,110299,P1000085,2023-06-21,M128,-33.78071975708008,151.11386108398438,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M128
3470,110301,P1002877,2024-02-23,M136,-33.86999,151.08825,4.6,4.6,4.6,4.5,4.78,4.65,4.68,M136
3471,110304,P1000049,2024-02-17,M122,-33.72719,151.00848,4.3,4.6,4.8,4.8,4.9,4.5,4.2,M122
3472,110306,P1000109,2024-02-17,M131,-33.8388,151.23511,4.69,4.69,4.58,4.73,4.91,4.93,4.56,M131
3473,110308,P1000332,2024-01-07,M131,-33.8388,151.23511,5.0,5.0,5.0,5.0,4.0,5.0,4.0,M131
3474,110310,P1000783,2024-03-01,M111,-33.88391217035607,150.92970127242728,4.73,4.67,4.73,4.8,5.0,4.67,4.67,M111
3475,110311,P1000732,2022-05-14,M128,-33.78071975708008,151.11386108398438,5.0,5.0,5.0,5.0,5.0,5.0,4.0,M128
3476,110319,P1000227,2024-02-26,M116,-33.79716,151.06479,4.38,4.46,4.0,4.69,4.77,4.15,4.23,M116
3477,110321,P1001406,2024-01-01,M107,-33.75470594557184,151.1497291880052,4.73,4.93,4.47,4.87,4.67,4.8,4.73,M107
3478,110324,P1002877,2024-02-25,M136,-33.86999,151.08825,4.63,4.58,4.63,4.61,4.79,4.67,4.48,M136
3479,110327,P1000328,2024-03-04,M110,-33.828972923308115,151.2163312332427,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M110
3480,110328,P1000577,2024-03-12,M128,-33.78071975708008,151.11386108398438,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M128
3481,110329,P1002967,2024-02-25,M103,-33.82763,151.08623,4.76,4.89,4.86,4.84,4.89,5.0,4.84,M103
